Config,N,M,NNZ,MV (sec),SV (sec),Cores,Test,
Dense,100,100,10000,1.974e-06,3.373e-06,40,PASSED,
Dense,200,200,40000,7.142e-06,7.733e-06,40,PASSED,
Dense,300,300,90000,1.6735e-05,1.3801e-05,40,PASSED,
Dense,400,400,160000,4.1745e-05,2.2415e-05,40,PASSED,
Dense,500,500,250000,8.6441e-05,4.6702e-05,40,PASSED,
Dense,600,600,360000,6.1805e-05,6.682e-05,40,PASSED,
Dense,700,700,490000,3.8632e-05,8.8896e-05,40,PASSED,
Dense,800,800,640000,8.4212e-05,0.000118973,40,PASSED,
Dense,900,900,810000,0.000147899,0.000160562,40,PASSED,
Dense,1000,1000,1000000,8.3266e-05,0.000174246,40,PASSED,
Dense,1100,1100,1210000,7.3238e-05,0.000211958,40,PASSED,
Dense,1200,1200,1440000,4.9417e-05,0.000276873,40,PASSED,
Dense,1300,1300,1690000,5.214e-05,0.00030143,40,PASSED,
Dense,1400,1400,1960000,0.00011345,0.000346625,40,PASSED,
Dense,1500,1500,2250000,0.000146901,0.000412063,40,PASSED,
Dense,1600,1600,2560000,0.000110162,0.000446476,40,PASSED,
Dense,1700,1700,2890000,0.00010781,0.000556985,40,PASSED,
Dense,1800,1800,3240000,0.000148938,0.000660592,40,PASSED,
Dense,1900,1900,3610000,7.4537e-05,0.00067542,40,PASSED,
Dense,2000,2000,4000000,0.000184822,0.000707049,40,PASSED,
Dense,2100,2100,4410000,0.000178141,0.000800128,40,PASSED,
Dense,2200,2200,4840000,0.000219305,0.000937071,40,PASSED,
Dense,2300,2300,5290000,0.000166833,0.00109622,40,PASSED,
Dense,2400,2400,5760000,0.000163699,0.00133523,40,PASSED,
Dense,2500,2500,6250000,0.000195001,0.00136917,40,PASSED,
Dense,2600,2600,6760000,0.000170712,0.00157092,40,PASSED,
Dense,2700,2700,7290000,0.000224733,0.00173158,40,PASSED,
Dense,2800,2800,7840000,0.000260514,0.00204613,40,PASSED,
Dense,2900,2900,8410000,0.000345902,0.00206995,40,PASSED,
Dense,3000,3000,9000000,0.000519644,0.00236082,40,PASSED,
Dense,3100,3100,9610000,0.00057783,0.0025447,40,PASSED,
Dense,3200,3200,10240000,0.000414906,0.00264973,40,PASSED,
Dense,3300,3300,10890000,0.00048962,0.00281978,40,PASSED,
Dense,3400,3400,11560000,0.000700482,0.00311203,40,PASSED,
Dense,3500,3500,12250000,0.000677942,0.00330809,40,PASSED,
Dense,3600,3600,12960000,0.000942372,0.0035669,40,PASSED,
Dense,3700,3700,13690000,0.000995315,0.00510393,40,PASSED,
Dense,3800,3800,14440000,0.00102403,0.00538729,40,PASSED,
Dense,3900,3900,15210000,0.00126752,0.00457833,40,PASSED,
Dense,4000,4000,16000000,0.00144753,0.00462429,40,PASSED,
Dense,4100,4100,16810000,0.00207093,0.00495453,40,PASSED,
Dense,4200,4200,17640000,0.00115037,0.00496441,40,PASSED,
Dense,4300,4300,18490000,0.00198197,0.00529015,40,PASSED,
Dense,4400,4400,19360000,0.00178742,0.00785454,40,PASSED,
Dense,4500,4500,20250000,0.00137572,0.00837896,40,PASSED,
Dense,4600,4600,21160000,0.00157198,0.00609446,40,PASSED,
Dense,4700,4700,22090000,0.00190231,0.00657318,40,PASSED,
Dense,4800,4800,23040000,0.00222983,0.00680149,40,PASSED,
Dense,4900,4900,24010000,0.00226564,0.00714143,40,PASSED,
Dense,5000,5000,25000000,0.00224929,0.00804438,40,PASSED,
Dense,5100,5100,26010000,0.00307214,0.00777032,40,PASSED,
Dense,5200,5200,27040000,0.00188326,0.00806005,40,PASSED,
Dense,5300,5300,28090000,0.00257627,0.00851998,40,PASSED,
Dense,5400,5400,29160000,0.00338362,0.00883156,40,PASSED,
Dense,5500,5500,30250000,0.00325138,0.00924118,40,PASSED,
Dense,5600,5600,31360000,0.004546,0.00968351,40,PASSED,
Dense,5700,5700,32490000,0.0046781,0.0099285,40,PASSED,
Dense,5800,5800,33640000,0.00294767,0.0109536,40,PASSED,
Dense,5900,5900,34810000,0.00422696,0.0108174,40,PASSED,
Dense,6000,6000,36000000,0.00468724,0.0111885,40,PASSED,
Dense,6100,6100,37210000,0.00297207,0.0120795,40,PASSED,
Dense,6200,6200,38440000,0.00423076,0.0119841,40,PASSED,
Dense,6300,6300,39690000,0.00418467,0.0123075,40,PASSED,
Dense,6400,6400,40960000,0.00426489,0.0128168,40,PASSED,
Dense,6500,6500,42250000,0.00440478,0.0131499,40,PASSED,
Dense,6600,6600,43560000,0.00505595,0.013558,40,PASSED,
Dense,6700,6700,44890000,0.00716375,0.0194797,40,PASSED,
Dense,6800,6800,46240000,0.0053142,0.0204757,40,PASSED,
Dense,6900,6900,47610000,0.00683992,0.0149396,40,PASSED,
Dense,7000,7000,49000000,0.00533522,0.0152942,40,PASSED,
Dense,7100,7100,50410000,0.00664122,0.0158582,40,PASSED,
Dense,7200,7200,51840000,0.00359585,0.0179744,40,PASSED,
Dense,7300,7300,53290000,0.00413007,0.0175195,40,PASSED,
Dense,7400,7400,54760000,0.00543506,0.0182843,40,PASSED,
Dense,7500,7500,56250000,0.00524619,0.0191327,40,PASSED,
Dense,7600,7600,57760000,0.00581933,0.0194351,40,PASSED,
Dense,7700,7700,59290000,0.00461853,0.0186958,40,PASSED,
Dense,7800,7800,60840000,0.00638891,0.0203997,40,PASSED,
Dense,7900,7900,62410000,0.0061242,0.0199792,40,PASSED,
Dense,8000,8000,64000000,0.00495197,0.021657,40,PASSED,
Dense,8100,8100,65610000,0.00444235,0.0244471,40,PASSED,
Dense,8200,8200,67240000,0.00645375,0.0253571,40,PASSED,
Dense,8300,8300,68890000,0.00651186,0.0244316,40,PASSED,
Dense,8400,8400,70560000,0.00685868,0.0256533,40,PASSED,
Dense,8500,8500,72250000,0.00711115,0.0261526,40,PASSED,
Dense,8600,8600,73960000,0.00601905,0.0257149,40,PASSED,
Dense,8700,8700,75690000,0.00737181,0.0278091,40,PASSED,
Dense,8800,8800,77440000,0.00639384,0.027074,40,PASSED,
Dense,8900,8900,79210000,0.00851674,0.0276203,40,PASSED,
Dense,9000,9000,81000000,0.0065678,0.0278815,40,PASSED,
Dense,9100,9100,82810000,0.00946451,0.0284488,40,PASSED,
Dense,9200,9200,84640000,0.00883947,0.0289044,40,PASSED,
Dense,9300,9300,86490000,0.00725987,0.0296853,40,PASSED,
Dense,9400,9400,88360000,0.00703268,0.0314282,40,PASSED,
Dense,9500,9500,90250000,0.00679521,0.0394236,40,PASSED,
Dense,9600,9600,92160000,0.0127286,0.031779,40,PASSED,
Dense,9700,9700,94090000,0.0109686,0.0325795,40,PASSED,
Dense,9800,9800,96040000,0.00701747,0.0341371,40,PASSED,
Dense,9900,9900,98010000,0.00815156,0.035082,40,PASSED,
Dense,10000,10000,100000000,0.0105756,0.0340594,40,PASSED,
Dense,10100,10100,102010000,0.0107719,0.0342447,40,PASSED,
Dense,10200,10200,104040000,0.00818717,0.0335238,40,PASSED,
Dense,10300,10300,106090000,0.00859078,0.0356911,40,PASSED,
Dense,10400,10400,108160000,0.00841623,0.0342152,40,PASSED,
Dense,10500,10500,110250000,0.00885574,0.0343981,40,PASSED,
Dense,10600,10600,112360000,0.0123517,0.0347651,40,PASSED,
Dense,10700,10700,114490000,0.0100479,0.0342779,40,PASSED,
Dense,10800,10800,116640000,0.0134588,0.0353991,40,PASSED,
Dense,10900,10900,118810000,0.0159713,0.0350351,40,PASSED,
Dense,11000,11000,121000000,0.0119722,0.0349996,40,PASSED,
Dense,11100,11100,123210000,0.0119601,0.0357497,40,PASSED,
Dense,11200,11200,125440000,0.00972584,0.035883,40,PASSED,
Dense,11300,11300,127690000,0.0137487,0.036685,40,PASSED,
Dense,11400,11400,129960000,0.0161292,0.0374957,40,PASSED,
Dense,11500,11500,132250000,0.0146423,0.0357338,40,PASSED,
Dense,11600,11600,134560000,0.0101368,0.0478789,40,PASSED,
Dense,11700,11700,136890000,0.0106642,0.0378835,40,PASSED,
Dense,11800,11800,139240000,0.0141439,0.0375838,40,PASSED,
Dense,11900,11900,141610000,0.0115826,0.0382493,40,PASSED,
Dense,12000,12000,144000000,0.01142,0.0390613,40,PASSED,
Dense,12100,12100,146410000,0.0168103,0.0407301,40,PASSED,
Dense,12200,12200,148840000,0.0151788,0.038598,40,PASSED,
Dense,12300,12300,151290000,0.0118443,0.0398485,40,PASSED,
Dense,12400,12400,153760000,0.014627,0.0395028,40,PASSED,
Dense,12500,12500,156250000,0.0180809,0.0400101,40,PASSED,
Dense,12600,12600,158760000,0.0124061,0.0386936,40,PASSED,
Dense,12700,12700,161290000,0.0150284,0.0385792,40,PASSED,
Dense,12800,12800,163840000,0.0145133,0.0408447,40,PASSED,
Dense,12900,12900,166410000,0.0174785,0.040762,40,PASSED,
Dense,13000,13000,169000000,0.0131459,0.0399798,40,PASSED,
Dense,13100,13100,171610000,0.017506,0.0402572,40,PASSED,
Dense,13200,13200,174240000,0.0208984,0.04181,40,PASSED,
Dense,13300,13300,176890000,0.0158065,0.0409666,40,PASSED,
Dense,13400,13400,179560000,0.0171606,0.04055,40,PASSED,
Dense,13500,13500,182250000,0.0186074,0.0418035,40,PASSED,
Dense,13600,13600,184960000,0.0197538,0.0408758,40,PASSED,
Dense,13700,13700,187690000,0.0293009,0.0438586,40,PASSED,
Dense,13800,13800,190440000,0.0244751,0.0429187,40,PASSED,
Dense,13900,13900,193210000,0.0246206,0.0428976,40,PASSED,
Dense,14000,14000,196000000,0.0224442,0.0430292,40,PASSED,
Dense,14100,14100,198810000,0.018896,0.0528693,40,PASSED,
Dense,14200,14200,201640000,0.0228952,0.0419371,40,PASSED,
Dense,14300,14300,204490000,0.0221234,0.0433837,40,PASSED,
Dense,14400,14400,207360000,0.0327718,0.0463706,40,PASSED,
Dense,14500,14500,210250000,0.0215203,0.0422674,40,PASSED,
Dense,14600,14600,213160000,0.0300785,0.0457062,40,PASSED,
Dense,14700,14700,216090000,0.0194135,0.0414892,40,PASSED,
Dense,14800,14800,219040000,0.0218519,0.0428904,40,PASSED,
Dense,14900,14900,222010000,0.0269305,0.0439386,40,PASSED,
Dense,15000,15000,225000000,0.0261575,0.0453467,40,PASSED,
Dense,15100,15100,228010000,0.0212789,0.0441759,40,PASSED,
Dense,15200,15200,231040000,0.0262994,0.0442311,40,PASSED,
Dense,15300,15300,234090000,0.0272967,0.0450029,40,PASSED,
Dense,15400,15400,237160000,0.0323987,0.0469994,40,PASSED,
Dense,15500,15500,240250000,0.029888,0.0470597,40,PASSED,
Dense,15600,15600,243360000,0.0257204,0.0446202,40,PASSED,
Dense,15700,15700,246490000,0.0288243,0.0453601,40,PASSED,
Dense,15800,15800,249640000,0.0305787,0.0473624,40,PASSED,
Dense,15900,15900,252810000,0.0321081,0.0483404,40,PASSED,
Dense,16000,16000,256000000,0.0317765,0.04827,40,PASSED,
Dense,16100,16100,259210000,0.0296038,0.0579774,40,PASSED,
Dense,16200,16200,262440000,0.0333439,0.0491522,40,PASSED,
Dense,16300,16300,265690000,0.0207008,0.0477489,40,PASSED,
Dense,16400,16400,268960000,0.0347888,0.0510514,40,PASSED,
Dense,16500,16500,272250000,0.0370207,0.0485597,40,PASSED,
Dense,16600,16600,275560000,0.0276745,0.0467896,40,PASSED,
Dense,16700,16700,278890000,0.0549076,0.0706637,40,PASSED,
Dense,16800,16800,282240000,0.0366957,0.0514877,40,PASSED,
Dense,16900,16900,285610000,0.0238948,0.0487826,40,PASSED,
Dense,17000,17000,289000000,0.0234628,0.0484187,40,PASSED,
Dense,17100,17100,292410000,0.0333331,0.0494076,40,PASSED,
Dense,17200,17200,295840000,0.0402649,0.0521925,40,PASSED,
Dense,17300,17300,299290000,0.0237331,0.0493638,40,PASSED,
Dense,17400,17400,302760000,0.0310202,0.0609659,40,PASSED,
Dense,17500,17500,306250000,0.0390956,0.0650453,40,PASSED,
Dense,17600,17600,309760000,0.0245379,0.0599421,40,PASSED,
Dense,17700,17700,313290000,0.0331061,0.0512687,40,PASSED,
Dense,17800,17800,316840000,0.027823,0.0498235,40,PASSED,
Dense,17900,17900,320410000,0.0313667,0.0521612,40,PASSED,
Dense,18000,18000,324000000,0.0324371,0.0512428,40,PASSED,
Dense,18100,18100,327610000,0.0430962,0.0550252,40,PASSED,
Dense,18200,18200,331240000,0.0266969,0.0496746,40,PASSED,
Dense,18300,18300,334890000,0.0473589,0.0573029,40,PASSED,
Dense,18400,18400,338560000,0.0430223,0.0562292,40,PASSED,
Dense,18500,18500,342250000,0.0470148,0.0565199,40,PASSED,
Dense,18600,18600,345960000,0.0494219,0.0556828,40,PASSED,
Dense,18700,18700,349690000,0.0452043,0.0565419,40,PASSED,
Dense,18800,18800,353440000,0.0484213,0.0589144,40,PASSED,
Dense,18900,18900,357210000,0.0401732,0.054227,40,PASSED,
Dense,19000,19000,361000000,0.0387153,0.0567765,40,PASSED,
Dense,19100,19100,364810000,0.0368897,0.0533743,40,PASSED,
Dense,19200,19200,368640000,0.0329233,0.0534675,40,PASSED,
Dense,19300,19300,372490000,0.0445006,0.0554956,40,PASSED,
Dense,19400,19400,376360000,0.0463222,0.0555281,40,PASSED,
Dense,19500,19500,380250000,0.0510199,0.0563327,40,PASSED,
Dense,19600,19600,384160000,0.0575797,0.062927,40,PASSED,
Dense,19700,19700,388090000,0.0317247,0.053141,40,PASSED,
Dense,19800,19800,392040000,0.0398136,0.0558796,40,PASSED,
Dense,19900,19900,396010000,0.0495448,0.0606618,40,PASSED,
Dense,20000,20000,400000000,0.0491175,0.0593755,40,PASSED,
